time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-18T10:43:51.950Z,33.4768333,-116.466,12.83,0.82,ml,32,92,0.1152,0.15,ci,ci40488112,2023-06-18T13:23:40.550Z,"21km ESE of Anza, CA",earthquake,0.26,0.62,0.165,27,reviewed,ci,ci
2023-06-18T10:35:25.310Z,38.8308334,-122.8183365,1.58,1.04,md,16,51,0.00984,0.02,nc,nc73902471,2023-06-18T12:33:14.287Z,"8km NW of The Geysers, CA",earthquake,0.23,0.6,0.3,14,automatic,nc,nc
2023-06-18T10:17:46.440Z,39.7741661,-123.9833298,10.68,2.03,md,9,187,,0.2,nc,nc73902461,2023-06-18T12:07:14.151Z,"14km WNW of Cape Vizcaino, CA",earthquake,2.57,6.95,0.04,4,automatic,nc,nc
2023-06-18T09:59:54.300Z,17.9281666666667,-66.8761666666667,9.56,2.28,md,5,224,0.04672,0.1,pr,pr71413868,2023-06-18T10:17:07.440Z,"Puerto Rico region",earthquake,1.52,0.51,0.140667037420997,2,reviewed,pr,pr
2023-06-18T09:59:29.019Z,-15.3843,167.5109,122.521,5.3,mww,88,26,5.985,0.6,us,us7000k9ce,2023-06-18T10:18:09.749Z,"40 km ENE of Luganville, Vanuatu",earthquake,8.98,5.863,0.073,18,reviewed,us,us
2023-06-18T09:57:44.320Z,33.6725,-116.7416667,13.57,0.51,ml,21,64,0.04487,0.12,ci,ci40488104,2023-06-18T13:23:40.405Z,"8km SSW of Idyllwild, CA",earthquake,0.24,0.44,0.135,11,reviewed,ci,ci
2023-06-18T09:57:35.450Z,38.8138351,-122.783165,10.74,0.44,md,5,179,0.01115,0.02,nc,nc73902456,2023-06-18T11:50:12.060Z,"5km NNW of The Geysers, CA",earthquake,1.48,1.8,0.24,6,automatic,nc,nc
2023-06-18T09:54:51.985Z,16.0901,-95.8448,35.496,4.4,mb,50,190,2.99,0.55,us,us7000k9cd,2023-06-18T13:45:33.427Z,"4 km S of Santa María Zapotitlán, Mexico",earthquake,10.74,13.528,0.042,160,reviewed,us,us
2023-06-18T09:46:54.634Z,34.4987,143.0695,10,4.4,mb,36,146,3.042,0.41,us,us7000k9cc,2023-06-18T10:03:20.040Z,"245 km SE of Hasaki, Japan",earthquake,6.25,1.9,0.092,34,reviewed,us,us
2023-06-18T09:32:07.730Z,33.68,-116.7433333,14.21,0.44,ml,17,101,0.03947,0.12,ci,ci40488088,2023-06-18T13:23:44.407Z,"7km SSW of Idyllwild, CA",earthquake,0.32,0.47,0.107,10,reviewed,ci,ci
2023-06-18T09:30:57.958Z,62.3025,-150.9993,70.9,1.4,ml,,,,0.5,ak,ak0237rnd3ur,2023-06-18T09:33:11.428Z,"Central Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-06-18T09:27:59.380Z,19.2391662597656,-155.411331176758,34.810001373291,1.95,ml,47,141,,0.119999997,hv,hv73454572,2023-06-18T09:33:29.780Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.47,0.660000026,3.66,10,automatic,hv,hv
2023-06-18T09:15:00.930Z,33.5138333,-116.5055,13.27,0.35,ml,18,83,0.08302,0.19,ci,ci40488072,2023-06-18T09:18:31.258Z,"16km ESE of Anza, CA",earthquake,0.45,0.77,0.183,5,automatic,ci,ci
2023-06-18T09:14:31.472Z,58.0955,-154.6014,86,5,mww,,,,0.5,ak,ak0237rn9mb0,2023-06-18T16:04:44.366Z,"59 km N of Karluk, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-06-18T09:13:46.010Z,18.8166675567627,-155.281494140625,9.42000007629395,1.82000005,md,29,266,,0.150000006,hv,hv73454557,2023-06-18T09:16:56.130Z,"Hawaii region, Hawaii",earthquake,1.72,1.13999999,1.82000005,4,automatic,hv,hv
2023-06-18T09:11:11.700Z,33.6698333,-116.7266667,13.52,0.34,ml,14,94,0.04252,0.08,ci,ci40488064,2023-06-18T09:14:45.238Z,"8km S of Idyllwild, CA",earthquake,0.25,0.49,0.183,5,automatic,ci,ci
2023-06-18T09:10:28.952Z,-0.6701,-77.5812,25.791,5,mww,75,132,6.373,0.52,us,us7000k9bu,2023-06-18T14:28:46.090Z,"36 km NE of Archidona, Ecuador",earthquake,8.92,5.331,0.089,12,reviewed,us,us
2023-06-18T09:05:59.360Z,38.7876663,-122.7606659,1.28,1.09,md,12,109,0.01296,0.05,nc,nc73902441,2023-06-18T11:25:11.915Z,"1km NNW of The Geysers, CA",earthquake,0.32,0.57,0.05,11,automatic,nc,nc
2023-06-18T09:03:21.340Z,18.7455005645752,-155.246002197266,9.21000003814697,2.69,ml,37,278,,0.109999999,hv,hv73454547,2023-06-18T09:10:39.040Z,"50 km SE of Naalehu, Hawaii",earthquake,1.35,1.38999999,3.35,13,automatic,hv,hv
2023-06-18T08:59:47.667Z,63.4933,-151.1504,0,1.5,ml,,,,0.7,ak,ak0237rmxv86,2023-06-18T09:02:06.065Z,"29 km E of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-06-18T08:40:39.020Z,19.4745006561279,-155.492340087891,-3.01999998092651,1.91,ml,30,43,,0.370000005,hv,hv73454537,2023-06-18T08:46:10.120Z,"Island of Hawaii, Hawaii",earthquake,0.61,0.330000013,0.33,5,automatic,hv,hv
2023-06-18T08:25:49.670Z,34.0446667,-119.1345,0.99,1.6,ml,18,195,0.1374,0.28,ci,ci40488048,2023-06-18T08:43:19.046Z,"13km SSE of Port Hueneme, CA",earthquake,1.24,31.61,0.278,22,automatic,ci,ci
2023-06-18T08:22:13.180Z,36.0378342,-120.6060028,2.29,1.04,md,10,102,0.03192,0.09,nc,nc73902431,2023-06-18T10:30:13.611Z,"22km NW of Parkfield, CA",earthquake,0.58,1.38,0.14,4,automatic,nc,nc
2023-06-18T08:08:28.620Z,33.2808333,-116.841,14.04,0.19,ml,25,73,0.07481,0.15,ci,ci40488040,2023-06-18T14:30:00.559Z,"8km WNW of Lake Henshaw, CA",earthquake,0.24,0.58,0.153,10,reviewed,ci,ci
2023-06-18T08:05:08.133Z,60.4364,-147.6383,15.3,1.3,ml,,,,0.15,ak,ak0237rmm7i5,2023-06-18T08:07:05.269Z,"Southern Alaska",earthquake,,0.3,,,automatic,ak,ak
2023-06-18T07:58:21.250Z,38.8155,-122.8191667,2.94,0.44,md,12,70,0.01025,0.03,nc,nc73902426,2023-06-18T10:04:12.441Z,"7km NW of The Geysers, CA",earthquake,0.33,0.39,0.437,12,reviewed,nc,nc
2023-06-18T07:24:25.325Z,64.6727,-146.8634,11.3,0.5,ml,,,,0.22,ak,ak0237rm4vtl,2023-06-18T07:26:23.453Z,"9 km E of Eielson Air Force Base, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-06-18T07:14:53.350Z,34.0403333,-116.8465,19.79,1.61,ml,51,45,0.03257,0.22,ci,ci40488032,2023-06-18T07:25:45.910Z,"13km NNE of Banning, CA",earthquake,0.27,0.59,0.154,27,automatic,ci,ci
2023-06-18T07:12:05.899Z,59.2779,-151.7842,24.3,1.2,ml,,,,0.44,ak,ak0237rm25d2,2023-06-18T15:28:05.394Z,"8 km SSE of Port Graham, Alaska",earthquake,,1,,,reviewed,ak,ak
2023-06-18T07:00:37.900Z,33.6555,-116.7188333,15.72,0.21,ml,14,91,0.05566,0.14,ci,ci40488024,2023-06-18T07:04:15.378Z,"9km S of Idyllwild, CA",earthquake,0.36,0.61,0.025,7,automatic,ci,ci
2023-06-18T06:56:16.197Z,-33.057,-179.2136,57.51,4.8,mb,30,77,3.942,0.97,us,us7000k9be,2023-06-18T07:17:29.040Z,"south of the Kermadec Islands",earthquake,10.4,8.4,0.09,39,reviewed,us,us
2023-06-18T06:45:59.631Z,58.763,-152.7753,55.4,1.9,ml,,,,0.78,ak,ak0237rlo0wr,2023-06-18T06:47:59.523Z,"78 km N of Aleneva, Alaska",earthquake,,0.7,,,automatic,ak,ak
2023-06-18T06:45:41.852Z,63.2596,-151.452,0.9,1.3,ml,,,,0.52,ak,ak0237rlnzjd,2023-06-18T06:47:39.944Z,"34 km SSE of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-06-18T06:30:02.380Z,19.1876659393311,-155.486328125,35.5499992370605,1.91999996,md,35,83,,0.150000006,hv,hv73454457,2023-06-18T06:33:26.850Z,"Hawaii region, Hawaii",earthquake,0.8,1.08000004,0.600000024,9,automatic,hv,hv
2023-06-18T06:23:28.840Z,34.222,-117.4635,11.97,1.29,ml,34,40,0.04187,0.23,ci,ci40488016,2023-06-18T06:27:13.088Z,"5km SE of Lytle Creek, CA",earthquake,0.31,0.66,0.239,30,automatic,ci,ci
2023-06-18T06:22:29.370Z,38.8206673,-122.7994995,2.44,0.78,md,15,50,0.008698,0.06,nc,nc73902406,2023-06-18T06:45:14.309Z,"6km NW of The Geysers, CA",earthquake,0.35,0.91,0.15,16,automatic,nc,nc
